MOF,Pressure (kPa),Temp (K)
KOPLAF_clean,5.1732894,273
KOPLAF_clean,8.703583700000001,273
KOPLAF_clean,10.2696684,273
KOPLAF_clean,13.298074200000002,273
KOPLAF_clean,15.6999586,273
KOPLAF_clean,18.4160523,273
KOPLAF_clean,20.9225758,273
KOPLAF_clean,23.5338844,273
KOPLAF_clean,26.1454849,273
KOPLAF_clean,28.6525922,273
KOPLAF_clean,31.2643386,273
KOPLAF_clean,34.1892728,273
KOPLAF_clean,36.6962342,273
KOPLAF_clean,39.3076887,273
KOPLAF_clean,42.3375539,273
KOPLAF_clean,44.8448072,273
KOPLAF_clean,47.1433658,273
KOPLAF_clean,52.6801924,273
KOPLAF_clean,54.9784592,273
KOPLAF_clean,57.799629900000006,273
KOPLAF_clean,62.9184836,273
KOPLAF_clean,68.35081699999999,273
KOPLAF_clean,70.85836210000001,273
KOPLAF_clean,73.5746017,273
KOPLAF_clean,76.0820009,273
KOPLAF_clean,78.90302559999999,273
KOPLAF_clean,80.992452,273
KOPLAF_clean,83.7085457,273
KOPLAF_clean,86.6340636,273
KOPLAF_clean,89.35059509999999,273
KOPLAF_clean,91.8577024,273
KOPLAF_clean,94.8875676,273
KOPLAF_clean,97.1858345,273
WETPES_clean,0.392845672212644,298
WETPES_clean,0.589268508318966,298
WETPES_clean,1.178537016637932,298
WETPES_clean,1.7678055250902198,298
WETPES_clean,3.33918821420744,298
WETPES_clean,6.48195359110866,298
WETPES_clean,9.6247189693431,298
WETPES_clean,12.57106151027132,298
WETPES_clean,15.9102497271452,298
WETPES_clean,19.2494379386862,298
WETPES_clean,22.1957804782812,298
WETPES_clean,25.5349686898222,298
WETPES_clean,28.4813112294172,298
WETPES_clean,31.6240766049852,298
WETPES_clean,34.5704191579124,298
WETPES_clean,38.1060302054264,298
WETPES_clean,41.2487955809944,298
WETPES_clean,44.3915609565624,298
WETPES_clean,47.3379034961574,298
WETPES_clean,50.4806688717254,298
WETPES_clean,53.6234342606256,298
WETPES_clean,57.1590453081396,298
WETPES_clean,59.9089650117616,298
WETPES_clean,63.0517303873296,298
WETPES_clean,66.3909185988706,298
WETPES_clean,69.5336839744386,298
WETPES_clean,72.4800265140336,298
WETPES_clean,75.6227919029338,298
WETPES_clean,78.5691344425288,298
WETPES_clean,81.9083226540698,298
WETPES_clean,85.0510880296378,298
WETPES_clean,88.1938534052058,298
WETPES_clean,90.9437731088278,298
WETPES_clean,94.2829613203688,298
WETPES_clean,97.622149545242,298
WETPES_clean,100.568492084837,298
WETPES_clean,103.514834624432,298
GATJOE_clean,0.2731191,273
GATJOE_clean,0.5415732000000001,273
GATJOE_clean,0.5445419,273
GATJOE_clean,0.6802532,273
GATJOE_clean,1.479678,273
GATJOE_clean,4.4106194,273
GATJOE_clean,8.2627017,273
GATJOE_clean,10.9175553,273
GATJOE_clean,13.1724845,273
GATJOE_clean,16.0913391,273
GATJOE_clean,18.877239000000003,273
GATJOE_clean,21.3972295,273
GATJOE_clean,24.181645,273
GATJOE_clean,26.7005752,273
GATJOE_clean,30.1482801,273
GATJOE_clean,33.5957729,273
GATJOE_clean,36.7777803,273
GATJOE_clean,40.2250611,273
GATJOE_clean,43.4064324,273
GATJOE_clean,46.8526529,273
GATJOE_clean,50.4322523,273
GATJOE_clean,53.348562300000005,273
GATJOE_clean,56.6626763,273
GATJOE_clean,59.8438355,273
GATJOE_clean,63.1577375,273
GATJOE_clean,67.002186,273
GATJOE_clean,70.4484065,273
GATJOE_clean,73.36450450000001,273
GATJOE_clean,76.8107251,273
GATJOE_clean,80.12441489999999,273
GATJOE_clean,83.17325559999999,273
GATJOE_clean,86.7526429,273
GATJOE_clean,89.9335901,273
GATJOE_clean,93.3800227,273
GATJOE_clean,96.4284392,273
GATJOE_clean,99.7421291,273
GATJOE_clean,103.4531989,273
GATJOE_clean,106.5020395,273
GATJOE_clean,109.1532883,273
KOPKUY_clean,0.1071658,313
KOPKUY_clean,2.9262694,313
KOPKUY_clean,5.5364583000000005,313
KOPKUY_clean,8.1466473,313
KOPKUY_clean,10.7569826,313
KOPKUY_clean,13.4715557,313
KOPKUY_clean,16.1862752,313
KOPKUY_clean,18.7967569,313
KOPKUY_clean,21.3031473,313
KOPKUY_clean,23.9143611,313
KOPKUY_clean,26.7362463,313
KOPKUY_clean,29.1539176,313
KOPKUY_clean,32.0880926,313
KOPKUY_clean,34.9124667,313
KOPKUY_clean,37.4197355,313
KOPKUY_clean,40.03051,313
KOPKUY_clean,43.0580891,313
KOPKUY_clean,45.2511807,313
KOPKUY_clean,48.1742293,313
KOPKUY_clean,50.784418200000005,313
KOPKUY_clean,53.3944608,313
KOPKUY_clean,56.108448200000005,313
KOPKUY_clean,58.61410660000001,313
KOPKUY_clean,61.3286797,313
KOPKUY_clean,63.938429500000005,313
KOPKUY_clean,66.548472,313
KOPKUY_clean,69.1583682,313
KOPKUY_clean,71.9767398,313
KOPKUY_clean,74.4822518,313
KOPKUY_clean,77.1963856,313
KOPKUY_clean,80.0151965,313
KOPKUY_clean,82.4163243,313
KOPKUY_clean,85.0256349,313
KOPKUY_clean,87.635531,313
KOPKUY_clean,90.3496649,313
KOPKUY_clean,93.2724206,313
KOPKUY_clean,98.2834446,313
KEGBIK_clean,0.140317014,288
KEGBIK_clean,0.557262148,288
KEGBIK_clean,0.948927264,288
KEGBIK_clean,1.331506398,288
KEGBIK_clean,1.737520541,288
KEGBIK_clean,3.181463684,288
KEGBIK_clean,6.263940672,288
KEGBIK_clean,9.45108374,288
KEGBIK_clean,12.48309402,288
KEGBIK_clean,15.7089483,288
KEGBIK_clean,19.06383005,288
KEGBIK_clean,21.77727336,288
KEGBIK_clean,24.87693364,288
KEGBIK_clean,28.41778294,288
KEGBIK_clean,30.92913512,288
KEGBIK_clean,34.07213121,288
KEGBIK_clean,37.53451626,288
KEGBIK_clean,40.85153749,288
KEGBIK_clean,43.39883871,288
KEGBIK_clean,47.23410512,288
KEGBIK_clean,50.1793919,288
KEGBIK_clean,53.95715428,288
KEGBIK_clean,56.63237807,288
KEGBIK_clean,59.44024084,288
KEGBIK_clean,62.38731891,288
KEGBIK_clean,65.48051464,288
KEGBIK_clean,69.5635579,288
KEGBIK_clean,71.26719524,288
KEGBIK_clean,73.90119968,288
KEGBIK_clean,77.56525962,288
KEGBIK_clean,80.43203777,288
KEGBIK_clean,83.40477079,288
KEGBIK_clean,85.44738457,288
KEGBIK_clean,87.54002272,288
KEGBIK_clean,89.68391036,288
KEGBIK_clean,92.99858855,288
KEGBIK_clean,96.4357758,288
KEGBIK_clean,100.0,288
KEGBIK_clean,102.4490371,288
OSOBIK_clean,4.08475914862414,273
OSOBIK_clean,11.8004153194326,273
OSOBIK_clean,14.977450208511,273
OSOBIK_clean,20.4237957497868,273
OSOBIK_clean,23.1469685137586,273
OSOBIK_clean,27.2317276530502,273
OSOBIK_clean,31.316486805674,273
OSOBIK_clean,39.0321429724828,273
OSOBIK_clean,42.66304,273
OSOBIK_clean,46.7477991526238,273
OSOBIK_clean,50.8325582919154,273
OSOBIK_clean,54.4634553194326,273
OSOBIK_clean,58.0943523469498,273
OSOBIK_clean,63.0868357497868,273
OSOBIK_clean,66.2638706388652,273
OSOBIK_clean,69.8947676530502,273
OSOBIK_clean,73.07180255546079,273
OSOBIK_clean,78.06428595829779,273
OSOBIK_clean,86.2338042502132,273
OSOBIK_clean,90.318563402837,273
OSOBIK_clean,94.4033225554608,273
OSOBIK_clean,97.5803574445392,273
OSOBIK_clean,102.1189787222696,273
WIQTUN_clean,8.418235193,273
WIQTUN_clean,36.90208945,273
WIQTUN_clean,77.11103436,273
WIQTUN_clean,108.9449145,273
WIQTUN_clean,149.1883958,273
WIQTUN_clean,181.1431532,273
WIQTUN_clean,211.4401658,273
WIQTUN_clean,248.3854257,273
WIQTUN_clean,278.6306337,273
WIQTUN_clean,312.2085996,273
WIQTUN_clean,345.7865654,273
WIQTUN_clean,382.7145571,273
WIQTUN_clean,416.2493524,273
WIQTUN_clean,451.485063,273
WIQTUN_clean,481.6698325,273
WIQTUN_clean,518.5891901,273
WIQTUN_clean,587.2992575,273
WIQTUN_clean,654.342946,273
WIQTUN_clean,721.3866344,273
WIQTUN_clean,788.4303229,273
WIQTUN_clean,855.4567432,273
ZOZVES_clean,0.59035571949816,273
ZOZVES_clean,1.180711439129642,273
ZOZVES_clean,4.13249003648712,273
ZOZVES_clean,7.08426863531114,273
ZOZVES_clean,10.23283247263466,273
ZOZVES_clean,12.79104059046002,273
ZOZVES_clean,15.152463464453,273
ZOZVES_clean,17.5138863531114,273
ZOZVES_clean,20.072094460271,273
ZOZVES_clean,22.8270878259284,273
ZOZVES_clean,25.5820811782536,273
ZOZVES_clean,28.1402892987454,273
ZOZVES_clean,30.8952826510706,273
ZOZVES_clean,33.256705539729,273
ZOZVES_clean,36.011698892054206,273
ZOZVES_clean,38.963477489545,273
ZOZVES_clean,41.5216856100368,273
ZOZVES_clean,44.276678962362,273
ZOZVES_clean,46.8348870828538,273
ZOZVES_clean,49.3930952033456,273
ZOZVES_clean,52.1480885556708,273
ZOZVES_clean,54.9030819213282,273
ZOZVES_clean,57.2645047966544,273
ZOZVES_clean,60.2162833941452,273
ZOZVES_clean,62.774491514637,273
ZOZVES_clean,65.52948486696219,273
ZOZVES_clean,68.08769298745399,273
ZOZVES_clean,70.8426863531114,273
ZOZVES_clean,73.59767970543659,273
ZOZVES_clean,75.9591025807628,273
ZOZVES_clean,78.7140959464202,273
ZOZVES_clean,81.4690892987454,273
ZOZVES_clean,84.0272974192372,273
ZOZVES_clean,86.7822907715624,273
ZOZVES_clean,89.53728413721979,273
ZOZVES_clean,92.292277489545,273
ZOZVES_clean,94.6537003648712,273
ZOZVES_clean,99.9669018510204,273
ZOZVES_clean,102.9186804485112,273
ZOZVES_clean,105.870459046002,273
ELUJIH_clean,0.307219662,298
ELUJIH_clean,3.072196621,298
ELUJIH_clean,5.376344086,298
ELUJIH_clean,7.834101382,298
ELUJIH_clean,10.44546851,298
ELUJIH_clean,13.67127496,298
ELUJIH_clean,16.58986175,298
ELUJIH_clean,19.8156682,298
ELUJIH_clean,21.96620584,298
ELUJIH_clean,24.57757296,298
ELUJIH_clean,28.11059908,298
