,sse,kde
137,-38.945843359989986,0.007256211680617597
138,-38.79543354174174,0.007292126721106227
139,-38.645023723493495,0.007328114163297048
140,-38.494613905245245,0.007364204812420192
141,-38.344204086996996,0.007400430755469978
142,-38.193794268748746,0.007436825323119908
143,-38.0433844505005,0.007473423046291614
144,-37.89297463225225,0.0075102596074511935
145,-37.742564814004,0.007547371786703016
146,-37.59215499575575,0.007584797402765982
147,-37.4417451775075,0.007622575248926744
148,-37.29133535925925,0.007660745024064855
149,-37.14092554101101,0.007699347258858854
150,-36.99051572276276,0.007738423237279977
151,-36.84010590451451,0.007778014913490428
152,-36.68969608626627,0.007818164824267521
153,-36.53928626801802,0.007858915997076691
154,-36.38887644976977,0.007900311853922424
155,-36.23846663152152,0.007942396111113711
156,-36.08805681327327,0.007985212675079897
