,Chemical Name,PC1,PC2,Spin Splitting Energy (kcal/mol)
155,Mn(III)(ammonia)4eq(cyanide)ax1(cyanide)ax2,-3.2424934543668344,-2.423131001449768,-44.78694087
156,Cr(II)(ammonia)2eq(ammonia)ax1(ammonia)ax2,-1.3847192800208792,-0.6748701752591729,-49.56997873
157,Cr(II)(ammonia)2eq(ammonia)ax1(ammonia)ax2,-0.4648215447302616,-1.6919240857251343,-38.67132966
158,Mn(II)(carbonyl)4eq(cyanide)ax1(cyanide)ax2,-3.4409292918214316,-2.408594230104796,24.85951475
159,Mn(III)(carbonyl)4eq(cyanide)ax1(cyanide)ax2,-3.447945095941655,-2.3218506000387147,-18.81817764
160,Cr(II)(water)4eq(pisc)ax1(pisc)ax2,0.7335265288438844,0.9383454266346186,-41.20624013
161,Cr(III)(water)4eq(isothiocyanate)ax1(isothiocyanate)ax2,-1.7110685641182954,0.06810485422697896,-21.258234899999998
162,Cr(II)(isothiocyanate)4eq(cl)ax1(cl)ax2,-2.0762702867671514,1.3632667459952545,-50.49662571
163,Cr(III)(ammonia)4eq(carbonyl)ax1(carbonyl)ax2,-3.4349816167701457,-0.6795514189854285,-25.94350848
164,Mn(II)(water)4eq(cl)ax1(cl)ax2,-2.6402081703604177,-0.29577863680045435,-45.24164341
165,Mn(III)(water)4eq(cl)ax1(cl)ax2,-2.647223974480639,-0.2090350067343739,-52.03644856
166,Cr(III)(carbonyl)4eq(ammonia)ax1(ammonia)ax2,-3.8080484907231282,-1.0760745302307002,-24.91794918
167,Cr(II)(carbonyl)4eq(ammonia)ax1(ammonia)ax2,-3.8010326866029067,-1.1628181602967806,-30.18942155
168,Mn(II)(isothiocyanate)4eq(cl)ax1(cl)ax2,-1.768856843092212,-0.307012391002521,-50.15231884
169,Mn(III)(isothiocyanate)4eq(cl)ax1(cl)ax2,-1.7758726472124338,-0.22026876093644004,-38.60330738
170,Mn(III)(ammonia)2eq(ammonia)ax1(ammonia)ax2,-1.0980173032466445,-2.3875592592938215,-37.78723812
171,Cr(II)(water)4eq(cl)ax1(cl)ax2,-2.906416283552853,1.4230869980677028,-52.55136854
172,Cr(III)(carbonyl)2eq(carbonyl)ax1(carbonyl)ax2,-1.9254942617633584,-1.1804826120492347,-25.31174114
173,Fe(II)(isothiocyanate)2eq(isothiocyanate)ax1(isothiocyanate)ax2,-0.045318335037086155,1.7844404653974493,-16.50798108
174,Co(II)(cyanide)2eq(cyanide)ax1(cyanide)ax2,-1.8773174799688603,2.0134613375446704,-4.625522186
175,Co(II)(isothiocyanate)2eq(isothiocyanate)ax1(isothiocyanate)ax2,-0.06707377192610456,2.3142522696305488,-14.61851377
176,Fe(III)(cyanide)2eq(cyanide)ax1(cyanide)ax2,-1.8558559748610373,1.5761458330459577,9.057704113
177,Fe(II)(cyanide)2eq(cyanide)ax1(cyanide)ax2,-1.8488401707408155,1.4894022029798768,-13.54941862
