,filename,uptake_low_p (cm3 methane/g framework),uptake_low_p (cm3 methane/cm3 framework),uptake_high_p (cm3 methane/g framework),uptake_high_p (cm3 methane/cm3 framework)
969,MOF_net-zzz_node1-N30_node2-orgN8_edge1-E7.cif,77.0819268432,27.0372708173,466.1938816019,163.5222515374
970,MOF_net-tbo_node1-N24_node2-orgN2_edge1-E2.cif,77.3810285076,13.5126806622,684.2742184369,119.4915495108
971,MOF_net-bpr_node1-N83_node2-orgN5_edge1-none.cif,48.2172446955,13.0366149946,482.8576025957,130.5513971608
972,MOF_net-eea_node1-N43_node2-orgN14_edge1-E8.cif,92.7430353381,11.2897693104,850.2759914625,103.505559838
973,MOF_net-ptr_node1-N18_node2-orgN18_edge1-E14.cif,102.593824559,9.1211880378,1040.7547731635,92.529155903
974,MOF_net-pyr_node1-N14_node2-orgN8_edge1-E8.cif,63.2769263427,17.7667689711,558.0392567439,156.6851477216
975,MOF_net-rtl_node1-N49_node2-orgN11_edge1-E1.cif,89.2757068498,13.9457075455,771.5979172276,120.5308731357
976,MOF_net-ctn_node1-N78_node2-orgN23_edge1-E1.cif,99.3395542742,11.1818348492,924.0171049455,104.0089895792
977,MOF_net-zzz_node1-N47_node2-orgN14_edge1-E7.cif,73.8791015412,21.2447696461,516.3502743656,148.4823503097
978,MOF_net-eea_node1-N43_node2-orgN3_edge1-E8.cif,77.5716746342,13.8940053277,662.2971945498,118.6252687339
979,MOF_net-ctn_node1-N10_node2-orgN2_edge1-E7.cif,97.1121802122,11.1956670064,916.7034179237,105.6829965946
980,MOF_net-nom_node1-N79_node2-orgN10_edge1-E5.cif,98.4193271486,11.5775387607,892.0788439894,104.9395245128
981,MOF_net-ssa_node1-N41_node2-orgN10_edge1-E13.cif,119.7002655917,9.8130693802,1162.916020779,95.3362596051
982,MOF_net-tbo_node1-N24_node2-orgN22_edge1-E0.cif,98.7038230058,12.2207904778,896.2874338014,110.971800309
983,MOF_net-csq_node1-N76_node2-orgN10_edge1-E7.cif,98.3865751634,25.3477452711,578.2021548604,148.9646418959
984,MOF_net-zzz_node1-N16_node2-orgN9_edge1-none.cif,11.8722084103,23.9899687069,14.636441079,29.5756064357
985,MOF_net-ptr_node1-N74_node2-orgN19_edge1-E2.cif,83.4765467575,10.8396336278,778.3291532362,101.0679429206
986,MOF_net-zzz_node1-N49_node2-orgN17_edge1-none.cif,80.6028205067,48.6178927378,313.1945701921,188.9122480322
987,MOF_net-nom_node1-N79_node2-orgN15_edge1-E0.cif,101.9426263176,10.7324716851,957.3420343048,100.788518476
988,MOF_net-eea_node1-N47_node2-orgN5_edge1-E13.cif,96.9883552652,10.4409990813,914.105889643,98.4054088547
989,MOF_net-eea_node1-N58_node2-orgN26_edge1-E15.cif,115.2660118325,9.628863341,1119.9258236335,93.5541408643
990,MOF_net-tbo_node1-N83_node2-orgN19_edge1-E7.cif,153.3703419415,7.4521577185,1599.4451472126,77.715921789
991,MOF_net-ctn_node1-N10_node2-orgN14_edge1-E13.cif,148.9064853764,7.8369175678,1582.0267031616,83.2617386098
992,MOF_net-tsx_node1-N49_node2-orgN17_edge1-none.cif,113.6240683107,75.3524157427,299.0745559442,198.3381744082
993,MOF_net-pth_node1-N18_node2-orgN19_edge1-E9.cif,111.4772449873,8.7447112328,1176.6022729357,92.2972855479
994,MOF_net-ptr_node1-N18_node2-orgN1_edge1-E8.cif,93.1370140651,10.3966575782,890.6214768575,99.4179018905
995,MOF_net-zzz_node1-N16_node2-orgN9_edge1-E1.cif,86.0225308436,25.543829158,537.6449789494,159.6501678717
996,MOF_net-llk_node1-N72_node2-orgN9_edge1-E13.cif,77.4450130545,17.396502132,647.1004882947,145.358423741
997,MOF_net-ctn_node1-N55_node2-orgN14_edge1-E1.cif,125.1388186704,9.0293212034,1243.6057571817,89.7316752012
998,MOF_net-bwt_node1-N66_node2-orgN9_edge1-E15.cif,84.8562494666,10.8386673205,827.7001196712,105.7219273141
