,filename,uptake_low_p (cm3 methane/g framework),uptake_low_p (cm3 methane/cm3 framework),uptake_high_p (cm3 methane/g framework),uptake_high_p (cm3 methane/cm3 framework)
2216,MOF_net-sxg_node1-N49_edge1-none.cif,28.1197359263,37.881396359,71.0380868777,95.69869122
2217,MOF_net-uka_node1-N55_edge1-E15.cif,85.8778404065,10.7796193192,847.6452757338,106.3987327451
2218,MOF_net-ict_node1-N74_edge1-E13.cif,66.4311721699,11.0986285716,670.9973194406,112.1032457772
2219,MOF_net-ske_node1-N36_edge1-E1.cif,70.8648958986,18.7407565052,561.8552607738,148.5868637749
2220,MOF_net-uoy_node1-N4_edge1-E15.cif,79.769388028,11.6775317499,723.4406023424,105.9052954001
2221,MOF_net-vdb_node1-N0_edge1-E13.cif,75.97702629,13.9849943494,697.3598674203,128.3621415787
2222,MOF_net-uos_node1-N79_edge1-E8.cif,95.3703391397,9.4127352825,948.2013963373,93.5843242121
2223,MOF_net-wio_node1-N46_edge1-E1.cif,75.4323216425,23.6963957267,453.6662222791,142.5152255279
2224,MOF_net-ecn_node1-N77_edge1-E3.cif,75.9897514631,62.1209331592,208.0258199823,170.0592225886
2225,MOF_net-fnp_node1-N0_edge1-E13.cif,97.5853374913,10.4887980133,921.9880710169,99.0983573579
2226,MOF_net-uml_node1-N41_edge1-E14.cif,84.9083598494,10.8409976541,818.7369112434,104.5353478722
2227,MOF_net-uou_node1-N79_edge1-E7.cif,89.47190965,10.6346688406,844.5814136823,100.3873023229
2228,MOF_net-snl_node1-N20_edge1-E15.cif,64.495629753,17.5183174349,531.1057488437,144.2590627518
2229,MOF_net-som_node1-N17_edge1-E13.cif,65.9117693528,14.9975549436,594.2940433083,135.2255849703
2230,MOF_net-ana-e_node1-N51_edge1-E2.cif,34.1540474303,15.485598959,263.0335434024,119.2605934688
2231,MOF_net-wiv_node1-N36_edge1-E15.cif,67.0773478185,19.1021337176,541.4971795635,154.2063284869
2232,MOF_net-lcy-a_node1-N79_edge1-E14.cif,108.2226976836,8.2301946591,1109.8308993998,84.40118881
2233,MOF_net-ukc_node1-N10_edge1-E13.cif,98.3174359962,9.5028930037,1000.8153412834,96.7340228952
2234,MOF_net-wkj_node1-N12_edge1-E15.cif,74.7330882933,18.364683989,514.3430319504,126.3931072488
2235,MOF_net-lcy-a-x_node1-N86_edge1-E1.cif,103.9207066589,14.0936088878,753.098937097,102.1344274355
2236,MOF_net-lta_node1-N79_edge1-E0.cif,112.881676261,8.6611921937,1122.0849105333,86.0953999776
2237,MOF_net-ukj_node1-N18_edge1-E8.cif,56.9004217616,15.4861206734,540.0349451651,146.9768776711
2238,MOF_net-uof_node1-N79_edge1-E1.cif,96.2522018646,9.7244051088,935.4285196006,94.5067821696
2239,MOF_net-kag_node1-N16_edge1-none.cif,43.1274212958,59.3691451647,85.9156415067,118.2713466113
2240,MOF_net-mdf_node1-N42_edge1-E1.cif,83.5774886642,36.0710415681,461.2632589439,199.0756895563
2241,MOF_net-bcs_node1-N21_edge1-E0.cif,77.0655308659,43.1937967458,358.1044692706,200.7108948146
2242,MOF_net-ukd_node1-N18_edge1-E15.cif,80.7183467213,11.0179467901,784.7189104582,107.1130858322
2243,MOF_net-ukc_node1-N55_edge1-E13.cif,94.4087952457,9.2418224591,980.4585259239,95.9785960779
2244,MOF_net-gie_node1-N57_edge1-E14.cif,70.9809783415,9.970636959,708.6100989193,99.5378509414
2245,MOF_net-sin_node1-N66_edge1-E8.cif,93.9307077033,7.216972257,1021.5018559887,78.4849889388
2246,MOF_net-ulg_node1-N4_edge1-E10.cif,48.4562296565,15.7875718634,315.3288358296,102.7375982726
2247,MOF_net-pbz_node1-N83_edge1-E7.cif,173.9245198994,6.4328598212,1918.3801066396,70.954172056
2248,MOF_net-unl_node1-N73_edge1-E14.cif,48.9236176962,12.105514429,499.385882288,123.5665571831
