index,name,KR,KV,KVRH,GR,GV,GVRH,Unnamed: 0,filename,uptake_low_p (cm3 methane/g framework),uptake_low_p (cm3 methane/cm3 framework),uptake_high_p (cm3 methane/g framework),uptake_high_p (cm3 methane/cm3 framework),wc cm3/g
1379,optimized_MOF_net-unl_node1-N79_edge1-E14,1.0441132726170663,1.2478496398107868,1.1459814562139266,0.11661401513188327,0.3289501467466576,0.2227820809392705,165,MOF_net-unl_node1-N79_edge1-E14.cif,76.4882401389,10.6289767119,754.5193640603999,104.84969630209999,678.0311239214999
1380,optimized_MOF_net-uou_node1-N79_edge1-E0,2.8431905105530886,2.8786703610798217,2.8609304358164547,2.378804450060704,2.466696359668369,2.4227504048645367,1168,MOF_net-uou_node1-N79_edge1-E0.cif,90.64297118440001,10.786559555999998,847.9350438241,100.9047003901,757.2920726397
1381,optimized_MOF_net-uos_node1-N79_edge1-none,6.797553291170613,6.895161179803523,6.846357235487067,6.311420348581643,6.5240865050151156,6.417753426798378,5122,MOF_net-uos_node1-N79_edge1-none.cif,62.174832658599996,18.0896994969,497.86120032699995,144.852171208,435.68636766839995
1382,optimized_MOF_net-und_node1-N79_edge1-E1,1.3512411774087785,1.389490130926799,1.3703656541677889,0.30917227176690193,0.5307088344871634,0.4199405531270327,210,MOF_net-und_node1-N79_edge1-E1.cif,102.4404816216,9.5081791797,995.6424949503,92.412170375,893.2020133287
1383,optimized_MOF_net-mon_node1-N79_edge1-E0,2.5557836320227514,2.562128277518586,2.558955954770669,2.1353304415805323,2.2317001749303653,2.1835153082554486,3686,MOF_net-mon_node1-N79_edge1-E0.cif,100.7611687199,9.751482040800001,968.3414926682001,93.7143226408,867.5803239483001
1384,optimized_MOF_net-uot_node1-N79_edge1-E15,0.8681283975012124,0.8984286386956488,0.8832785180984306,0.15220123685683792,0.3060960240207784,0.2291486304388081,3388,MOF_net-uot_node1-N79_edge1-E15.cif,107.6479700949,8.630397489,1102.741787992,88.4094697719,995.0938178970999
1385,optimized_MOF_net-dei_node1-N79_edge1-E14,0.2068434571003303,0.3736776762469531,0.2902605666736417,0.08230795396351286,0.1100232218471488,0.09616558790533083,4667,MOF_net-dei_node1-N79_edge1-E14.cif,112.37382481610001,8.0314613988,1168.6019167005,83.52106195430001,1056.2280918843999
1386,optimized_MOF_net-umy_node1-N79_edge1-E1,0.8905081144985041,1.010683611521903,0.9505958630102034,0.15623664411765248,0.2260623844030429,0.1911495142603477,2637,MOF_net-umy_node1-N79_edge1-E1.cif,104.5414016557,9.056760302699999,1044.8904242479,90.5222425295,940.3490225922
1387,optimized_MOF_net-iac-e_node1-N64_edge1-E14,1.8576073568853253,1.861850751150085,1.8597290540177047,1.1865207018834782,1.2176781613190564,1.2020994316012672,980,MOF_net-iac-e_node1-N64_edge1-E14.cif,52.7678874888,17.1188513622,407.4449702173,132.182473382,354.6770827285
1388,optimized_MOF_net-wna_node1-N14_edge1-E5,3.749930082117079,3.8024397977457096,3.7761849399313934,2.0550781931366777,2.6816694237777883,2.3683738084572328,3671,MOF_net-wna_node1-N14_edge1-E5.cif,62.8367821595,27.6889604188,410.4916772665,180.8827157195,347.654895107
